baidu 百度
汇报 报告
汇合 会合
汇集 聚集
汇聚 会聚
会餐 聚餐
会萃 聚集
会合 会集
会合 齐集
会见 会面
会聚 集聚
会面 会晤
会堂 礼堂
会心 会意
讳饰 遮掩
绘声绘色 有板有眼
绘声绘色 有声有色
绘声绘影 历历如绘
绘图 画图
贿赂 行贿
晦暗 昏暗
晦涩 艰涩
惠而不费 不伤脾胃
毁谤 诬蔑
毁谤 讪谤
毁坏 损坏
毁灭 扑灭
毁伤 损伤
昏暗 暗淡
昏暗 灰暗
昏暗 幽暗
昏倒 昏迷
昏黄 朦胧
昏迷 昏厥
昏迷 晕厥
昏迷不醒 不省人事
昏天黑地 天昏地暗
昏头昏脑 晕头转向
婚事 亲事
浑沌 混沌
浑厚 浑朴
浑浑噩噩 胡里胡涂
浑金璞玉 天真未凿
浑身 满身
浑水摸鱼 混水摸鱼
浑浊 混浊
浑浊 污浊
魂不附体 丢魂失魄
魂不守舍 失魂落魄
魂飞魄散 六神无主
魂飞天外 魄散九霄
魂魄 灵魂
混居 杂居
混身 浑身
混淆 搅浑
混淆黑白 混淆视听
混杂 稠浊
混杂 混同
豁达 旷达
豁亮 明亮
豁略大度 宽宏大量
豁免 宽免
豁拳 猜拳
活该 该死
活结 活扣
活龙活现 活灵活现
活路 生路
活捉 生擒
火伴 伙伴
火化 火葬
火急 急切
火伞高张 烈日当空
火上浇油 推波助澜
火药 炸药
火油 煤油
火葬 火化
伙计 店员
或谓 或曰
或许 也许
或者 或
货币 货泉
货币 钱币
货币 钱银
货币 泉币
货仓 堆栈
货郎鼓 拨浪鼓
货品 货物
货泉 货币
获得 取得
获悉 得悉
祸不单行 灾患丛生
祸从口出 祸发齿牙
祸端 祸根
祸发齿牙 多言招悔
祸根 祸胎
祸国殃民 病国殃民
祸害 祸患
祸患 祸殃
祸首 罪魁
祸殃 祸患
讥嘲 讥诮
讥刺 讽刺
讥诮 挖苦
讥笑 耻笑
讥笑 讽刺
击鼓 伐鼓
击节称赏 拍案叫绝
饥荒 饥馑
机电 电机
机动 灵活
机警 机智
机伶 机灵
机灵 机警
机灵 机敏
机密 秘密
机密 秘要
机器 机械
机遇 机缘
机智 机灵
肌理丰盈 珠圆玉润
鸡飞狗跳 鸡飞狗走
鸡飞狗跳 鸡犬不宁
鸡飞狗走 鸡飞狗跳
鸡鸣狗盗 旁门左道
鸡犬不留 寸草不留
鸡犬不留 斩草除根
积不相容 势如水火
积储 储蓄
积德 积善
积厚流光 源远流长
积聚 积累
积年累月 年深月久
积少成多 聚沙成塔
积习难改 积重难返
积蓄 积储
积蓄 积存
积蓄 积贮
积蓄 蓄积
积压 积存
积羽沉舟 聚蚊成雷
积贮 积蓄
基本 根基
缉捕 搜捕
缉获 缴获
稽查 稽察
稽首 顿首
激辩 舌战
激动 冲动
激发 激起
激忿 激愤
激愤 激怒
激励 鼓励
激流 急流
激怒 激愤
激情 豪情
激战 苦战
羁系 监禁
及锋而试 捷足先得
及锋而试 捷足先登
及笄年华 豆蔻年华
及时 实时
及早 尽早
吉利 吉祥
吉祥 吉利
吉祥 祥瑞
吉兆 佳兆
吉兆 喜兆
岌岌可危 朝不保夕
岌岌可危 朝不虑夕
岌岌可危 间不容发
岌岌可危 千钧一发
岌岌可危 危如累卵
岌岌可危 一发千钧
汲取 吸取
汲深绠短 心余力绌
汲水 打水
即便 即使
即将 行将
即可 便可
即日 本日
即是 便是
极峰 山顶 颠峰
极尽描摹 淋漓尽致
极可能 很可能
极乐世界 神仙世界
极其 极为
极为 极其
极新 崭新
极刑 死刑
极重 繁重
急变 遽变
急公好义 慷慨仗义
急乎乎 急忙忙
急遽 急忙
急流 激流
急忙 仓猝
急忙 仓卒
急忙 匆匆
急忙 匆促
急忙 急遽
急迫 迫切
急起直追 奋起直追
急躁 烦躁
急中生智 情急智生
疾驰 奔驰
疾言厉色 声色俱厉
疾言厉色 正言厉色
疾走 狂奔
疾足先得 捷足先登
集聚 会聚
集思广益 群策群力
集腋成裘 积少成多
嫉妒 妒忌
嫉妒 妒忌
辑录 编录
辑睦 和睦
辑穆 和睦
籍籍无名 没没无闻
几次 几回
几多 多少
几乎 几近
几率 概率
计策 计谋
计划 打算
计划精巧 算无遗策
计谋 策略
计谋 计策
计无所出 束手待毙
记念 纪念
记取 记着
记述 记叙
记忆犹新 历历在目
记载 记录
记着 记住
纪录 记载
纪年 编年
纪念 记念
纪行 游记
纪要 记要
忌辰 忌日
忌惮 顾忌
忌妒 妒忌
技击 武术
技能 技术
技巧 技能
技艺 身手
季候 季节
季候 时令
季子 幼子
济急 救急
济济一堂 座无虚席
济困扶危 雪中送炭
济困解危 雪中送炭
继室 后妻
继往开来 承前启后
寂静 清静
寂静 幽静
寂寥 寥寂
寂寞 孤单
寂然 肃然
寄存 寄放
寄放 存放
寄居 借居
寄身 托身
寄意 寓意
寄予 寄与
祭奠 祭祀
祭祀 祭奠
加剧 加重
加快 加速
加强 增强
加之 加上
夹克 茄克
佳构 杰作
佳构 精品
佳话 美谈
佳偶 良伴
佳偶天成 嘉偶天成
佳肴 好菜
佳誉 美誉
佳兆 吉兆
枷锁 桎梏
家常便饭 屡见不鲜
家传 祖传
家道 家境
家景 家境
家境 家道
家眷 家属
家贫壁立 环堵萧然
家破人亡 流离失所
家声 门风
家世 门第
家书 家信
家徒壁立 室如悬磬
家徒壁立 四壁萧条
家乡 故乡
家畜 六畜
家喻户晓 众所周知
家属 眷属
袈裟 法衣
嘉会 盛会
嘉奖 奖励
嘉偶天成 佳偶天成
甲板 船面
甲鱼 团鱼
价格 价钱
价值千金 价值连城
驾返瑶池 跨鹤西归
驾驭 驾御
架空 排挤
架式 架势
假贷 借贷
假话 谎话
假话 谎言
假货 赝品
假冒 冒充
假名 化名
假票 伪钞
假仁假义 假装好人
假日 沐日
假如 假设
假设 假定
假意周旋 虚与委蛇
假寓 定居
假造 捏造
假装好人 假仁假义
嫁祸 移祸
嫁祸他人 以邻为壑
嫁祸于人 以邻为壑
嫁奁 嫁妆
稼穑 农事
戋戋 区区
奸狡 奸猾
奸商 市侩
奸笑 狞笑
奸诈 奸滑
尖兵 哨兵
尖利 尖锐
尖锐 锋利
尖锐 尖利
坚持不懈 锲而不舍
坚固 坚实
坚决 果断
坚如盘石 固若金汤
坚如盘石 坚不可摧
坚如磐石 固若金汤
坚守 苦守
坚信 深信
坚毅 刚毅
坚毅不拔 威武不屈
坚贞 坚毅
坚贞不屈 傲雪欺霜
歼灭 消灭
间不容发 岌岌可危
间谍 特务
间断 中断
肩摩踵接 肩背相望
肩舆 轿子
艰巨 艰难
艰苦 艰辛
艰苦朴素 勤勤俭俭
艰难 艰苦
艰涩 晦涩
兼并 吞并
监督 监视
监犯 犯人
监禁 禁锢
监禁 囚系
监视 监督
监视 看管
监狱 牢狱
湔雪 洗雪
缄口 闭口
缄口结舌 闭口无言
缄默 默然
缄默 沉默
俭朴 简朴
茧子 趼子
减弱 削弱
检点 检核
检举 揭发
检验 查验
简便 简捷
简便 轻便
简洁 简练
简练 精练
简炼 简练
简要 扼要
简易 简略 
翦绺 扒手
翦灭 扫除
见告 告知
见怪 见责
见教 赐教
见解 看法
见利忘义 财迷心窍
见面 碰头
见面 晤面
见色忘友 重色轻友
见识浅短 少见多怪
见微知着 尝鼎一脔
见闻习染 目染耳濡
见效 生效
见效 收效
见效 奏效
见笑于人 贻笑大方
建都 定都
建功 立功
建国 开国
建立 创立
建立 创设
剑拔弩张 一触即发
渐渐 逐渐
践踏 踩踏
践踏 辚轹
践踏 糟踏
践言 履言
践约 如约
践约 依约
鉴别 辨别
鉴别 判别
鉴定 判定
江干 江畔
江心补漏 临渴掘井
将功折罪 将功补过
将近 快要
将就 迁就
将来 未来
将信将疑 半信半疑
将遇良才 棋逢敌手
疆场 沙场
疆土 国土
疆域 边境
讲错 失口
讲错 失言
讲和 媾和
讲价 论价
讲课 授课
讲授 教学
讲堂 课堂
奖惩 赏罚
奖励 嘉奖
匠心独运 独具匠心
匠意于心 成竹在胸
降落 下降
降生 出世
交班 接班
交错 交织
交恶 反目
交锋 比武
交换 互换
交际 社交
交界 交壤
交界 接壤
交情 友谊
交融 融合
交头接耳 低声密语
交头接耳 窃窃私议
交头接耳 窃窃私语
交心 谈心
交易 买卖
交谊 情谊
交友 结交
交运 走运
交战 交兵
交织 交错
郊野 郊外
郊游 远足
娇媚 妩媚
娇小玲珑 小巧玲珑
娇羞答答 羞人答答
娇纵 骄纵
浇愁 解愁
骄兵必败 傲卒多败
骄兵必败 傲卒多降
骄贵 骄矜
骄奢淫佚 骄奢淫逸
骄阳 烈日
骄易 轻慢
骄子 宠儿
骄恣 骄纵
骄纵 娇纵
骄纵 骄恣
胶漆相投 似漆如胶
焦急 焦虑
焦虑 焦炙
焦土政策 坚壁清野
焦躁 烦躁
蛟龙得水 如鱼得水
角楼 谯楼
角逐 比赛
狡辩 诡辩
狡滑 狡猾
狡猾 奸刁
狡猾 狡诈
狡徒 滑头
狡黠 滑头
狡诈 狡猾
绞尽脑汁 挖空心思
皎洁 洁白
矫枉过正 过犹不及
脚本 剧本
脚根 脚跟
脚迹 脚印
脚门 角门
脚钱 力钱
脚踏实地 踏踏实实
脚指 脚趾
铰链 搭钮
剿除 剿灭
剿灭 清剿
剿袭 袭取
缴获 缉获
叫化 求乞
叫唤 叫喊
叫苦不迭 叫苦连天
叫醒 唤醒
叫子 哨子
教导 教诲
教练 锻练
教授 传授
教唆 指使
阶层 阶级
阶下囚 囚徒
接班 交班
接办 接手
接二连三 连续不断
接贵攀高 攀龙附凤
接济 救济
接壤 交界
接受 接管
接应 策应
接于眼前 近在眉睫
接踵 相继
揭穿 揭露
揭疮疤 揭隐私
揭发 揭破
揭露 揭穿
揭幕 开幕
揭示 揭露
街市 市井
孑立 孤单
孑然一身 形单影只
孑遗 余存
节俭 俭仆
节俭 俭约
节减 减省
节减 节略
节流 节省
节拍 节奏
节气 骨气
节省 节约
节外生枝 多此一举
节余 结余
节约 节俭
节约 勤俭
劫夺 劫掠
劫夺 侵夺
劫夺 侵掠
劫后余生 大难不死
劫掠 劫夺
劫掠 抢夺
劫掠 抢掠
劫难 灾难
劫数 劫运
杰出 卓越
诘问 诘责
诘责 质问
洁白 雪白
洁白 皎白
洁净 干净
洁身自爱 守身如玉
洁身自好 明哲保身
结案 了案
结构 构造
结婚 成婚
结婚 成亲
结实 健壮
结业 毕业
结怨 树敌
桀黠 狡猾
捷报 喜报
捷足先登 疾足先得
截然不同 判然不同
截趾适屦 削足就履
竭尽全力 全力以赴
竭力 极力
竭泽而渔 杀鸡取卵
解愁 浇愁
解当铺 典押铺
解甲归田 退役还乡
解聘 解职
解剖 剖解
解说 讲解
介弟 令弟
介怀 介意
介入 参与
界说 定义
界线 界限
借贷 假贷
借单 借条
借单 借约
借道 借路
借故 托故
借据 借券
借口 捏词
借口 托言
借款 告贷
借势 借重
借主 债主
今后 此后
今后 往后
今年 本年
今日 本日
今生 此生
今是昨非 今非昔比
斤斤计较 琐屑较量
金碧堂皇 富丽堂皇
金戈铁马 雄姿英才
金口木舌 暮鼓晨钟
金莲 弓足
金瓯无缺 一统天下
金钱万能 钱可通神
金石之盟 山盟海誓
金衣玉食 锦衣玉食
金衣玉食 鲜衣美食
金玉满堂 富可敌国
金樽旨酒 玉液琼浆
津润 滋润
津贴 补助
矜持 自持
筋疲力尽 精疲力竭
襟怀 肚量
紧急 紧迫
紧急 紧要
紧紧 牢牢
紧密合作 合作无懈
紧缩 收缩
紧要关头 生死关头
谨防 严防
谨慎 严谨
谨严 谨慎
锦绣 美丽
锦衣玉食 金衣玉食
尽管 虽然
尽可能 尽量
尽力 极力
尽量 尽可能
尽情 纵情
尽人皆知 众所周知
尽善尽美 精美绝伦
尽收眼底 一览无余
尽心尽力 不遗余力
尽忠 效忠
劲敌 强敌
劲头 干劲
近来 迩来
近来 最近
近年 最近几年
近年 近些年
近世 晚世
近些年 近年
近在眉睫 接于眼前
进步 前进
进步 提高
进场 出场
进贡 纳贡
进款 入款
进退两难 进退失据
进退失据 跋前疐后
进退维谷 进退两难
进退维谷 骑虎难下
进献 供献
晋级 升级
浸渐 积渐
浸礼 洗礼
浸没 淹没
浸透 渗透
禁忌 忌讳
泾渭不分 牝牡骊黄
经常 常常
经国济民 匡时济世
经过 经由
经籍 经书
经书 经籍
荆布 糟糠
荆天棘地 满地荆棘
惊诧 骇怪
惊动 轰动
惊愕 惊诧
惊弓之鸟 草木惊心
惊弓之鸟 伤弓之鸟
惊骇 惶恐
惊慌 惶恐
惊慌 惊惶
惊惶 惊悸
惊惶失措 手足无措
惊惶失措 猝不及防
惊悸 惊慌
惊恐 惊骇
惊奇 惊讶
惊奇 惊异
惊奇 惊异
惊叹 赞叹
惊天动地 震天动地
惊讶 惊奇
惊疑 惊奇
惊异 惊奇
旌旗 旗帜
旌旗 旗子
菁华 精华
兢兢业业 谨小慎微
精彩 出色
精悍 精干
精华 精髓
精力 精神
精炼 精辟
精良 精巧
精美绝伦 尽善尽美
精密 细密
精密 严密
精妙 精巧
精疲力竭 筋疲力尽
精巧 精致
精确 切确
精深 精湛
精神 精力
精神病 神经病
精神抖擞 精力充沛
精髓 精华
精通 精晓
精晓 精通
精湛 高深
精湛 精深
精致 精美
精致 精细
井井有条 层次分明
井井有条 层序分明
井井有条 井然有序
井井有条 有条不紊
井然有序 井井有理
井蛙语海 妄自尊大
景况 情状
景色 风景
景仰 钦慕
景致 景色
憬悟 省悟
警备 戒备
警察 警员
警句 警语
警觉 警悟
警觉 警醒
警省 警醒
警惕 警戒
警惕 小心
警卫 保镳
净水 清水
竞渡 赛舟
竞赛 比赛
竟然 居然
敬拜 膜拜
敬慕 景仰
敬慕 仰慕
敬佩 佩服
敬慎 恪慎
敬畏 畏敬
敬仰 敬佩
敬重 恭敬
境地 地步
境界 境地
境况 景况
静寂 寂静
静坐 默坐
窘迫 拮据
纠缠不清 扳缠不清
纠率 鸠率
鸠形鹄面 形容枯槁
鸠拙 笨拙
九牛一毫 牛之一毛
九牛一毛 沧海一粟
久而久之 长此以往
久旱 亢旱
久远 长远
酒杯 羽觞
酒坊 酒肆
酒徒 醉翁
酒盅 酒钟
旧病 宿病
旧恨 宿恨
旧恨 宿怨
旧交 旧友
旧居 故居
旧事 往事
旧友 故人 故交
旧债 宿债
旧帐 陈帐
旧帐 宿帐
旧址 原址
咎由自取 罪有应得
救兵 援军
救济 布施
救济 救助
救济 施舍
救生衣 浮水衣
救死扶伤 治病救人
就逮 落网
就地 当场
就好了 就行了
就可 便可
就可以 就能够
就能 就可以
就寝 寝息
就医 就诊
就义 殉国
居多 占多数
居然 竟然
居心不良 居心叵测
拘捕 逮捕
拘谨 拘束
局促 狭隘
局促一隅 僻处一方
局面 局势
局势 时势
局势 事态
沮丧 懊丧
举案齐眉 相敬如宾
举办 举行
举杯 碰杯
举步维艰 寸步难行
举动 行为
当作 算做
举高 抬高
举棋不定 当机不断
举行 举办
举一反三 触类旁通
句斟字嚼 咬文嚼字
巨变 剧变
巨擘 巨头
巨大 庞大
巨贾 富商
巨头 巨子
巨细 大小
巨子 巨擘
拒捕 抗捕
拒绝 谢绝
拒守 把守
具备 具有
具名 签字
剧本 脚本
剧场 剧院
剧盗 大贼
剧烈 猛烈
惧怕 恐惧
惧罪 畏罪
据守 扼守
据说 听说
据有关 据相关
聚餐 会餐
聚会 集会
聚集 会萃
聚集 集合
聚集 群集
聚精会神 屏气凝神
聚精会神 心神专注
聚敛 剥削
聚散 离合
聚沙成塔 集腋成裘
聚首 聚会
聚蚊成雷 积羽沉舟
遽变 急变
娟秀 清秀
捐款 捐钱
捐募 捐献
捐钱 捐款
捐躯 牺牲
涓滴 丝毫
镌刻 雕刻
卷铺盖 炒鱿鱼
卷土重来 东山再起
倦怠 疲倦
狷介 清高
隽誉 美名
眷属 家属
孓然一身 形影相吊
决策 决议
决定 决意
决斗 决战
决裂 破裂
决然 毅然
决死 殊死
决议 决策
决战 苦战
诀别 死别
诀窍 窍门
抉剔 挑剔
绝壁 峭壁
绝不 毫不
绝代 旷世
绝技 特技
绝路 死路
绝路 末路
觉得 感觉
觉返迷津 迷途知反
觉悟 憬悟
觉醒 醒悟
倔犟 倔强
攫取 掠夺
军队 戎行
军多将广 兵多将广
军工 兵工
军功 战功
军号 号角
军火 军械
军力 兵力
军器 军火
军人 甲士
军人 武士
军事 戎机
军械 军器
军营 虎帐
军种 兵种
军装 戎服
军装 戎衣
均可 都可
均派 均摊
俊杰 豪杰
俊秀 英俊
俊逸 飘逸
峻峭 高峻 陡峭
竣工 完工
开办 创办
开辟 开拓
开除 解雇
开创 首创
开国 建国
开怀 畅怀
开怀 舒怀
开荒 拓荒
开禁 弛禁
开朗 爽朗
开麦拉 摄影机
开门见山 开宗明义
开门揖盗 引狼入室
开幕 揭幕
开山祖师 鼻祖
开拓 开辟
开心 高兴
开展 展开
开宗明义 开门见山
凯旅 班师
楷模 表率
刊登 登载
刊行 发行
勘察 勘测
勘察 勘探
勘探 勘察
坎阱 罗网
坎坷 曲折
看法 观点
看法 见地
看法 见解
看风使舵 趁风扬帆
看风使舵 见风转舵
看破 看穿
看破 看透
看守 看管
看透 看破
看望 探望
看重 垂青
看作 看做
康健 健康
慷慨 大方
慷慨解囊 仗义疏财
慷慨仗义 急公好义
伉俪 夫妻
抗衡 对抗
抗命 逆命
考查 考核
考察 考查
考场 科场
考订 订正
考核 查核
考核 稽核
考据 考证
考试 测验
考语 评语
考证 考据
拷打 鞭挞
犒赏 赏赐
靠岸 泊岸
靠近 接近
靠拢 挨近
苛捐杂税 横征暴敛
苛刻 刻薄
苛吏 酷吏
科场 考场
瞌睡 打盹
瞌睡 打盹儿
可否 能否
可贵 宝贵
可骇 可怕
可靠 靠得住
可怕 恐怖
可巧 碰巧
可使 可以使
可托 可信
可惜 惋惜
可笑 好笑
或许 能够
可以让 可让
可以使 可使
可有可无 无关紧要
渴望 巴望
克敌制胜 旗开得胜
克扣 剥削
克制 压迫
克制 抑制
刻板 呆板
刻薄 尖刻
刻薄 尖酸
刻不容缓 迫在眉睫
刻骨铭心 铭肌镂骨
刻画 描绘
刻苦 耐劳
刻舟求剑 按图索骥
刻舟求剑 胶柱鼓瑟
刻舟求剑 一成不变
刻舟求剑 缘木求鱼
客居 旅居
客气 客套
客岁 旧年
客岁 去年
客堂 客厅
恪守 固守
课本 教材
课堂 讲堂
溘然 忽然
溘然长逝 撒手尘寰
肯定 必定
肯定 一定
垦荒 开荒
恳切 诚心
恳求 哀告
恳求 哀求
恳求 苦求
恳求 乞求
恳求 请求
空地 旷地
空乏 空匮
空房 空屋
空费 白费
空费时日 旷日持久
空腹 空肚
空话 废话
空话 空论
空幻 虚幻
空空如也 一无所有
空口说 空谈
空旷 空阔
空门 佛门
空前未有 亘古未有
空闲 余暇
空言无补 纸上谈兵
空中阁楼 梦幻泡影
空中楼阁 蜃楼海市
孔方兄 阿堵物
孔教 儒教
孔武有力 力大无穷
恐怖 可骇
恐慌 惊惧
恐慌 惊恐
恐惊 恐惧
恐惧 惊骇
恐惧 惧怕
恐惧不安 栗栗不安
恐怕 生怕
恐吓 恫吓
控告 控诉
控告 指控
控诉 控告
口碑载道 颂声遍野
口碑载道 有口皆碑
口传 口授
口多食寡 僧多粥少
口供 供词
口号 标语
口角 吵嘴
口蜜腹剑 笑里藏刀
口气 口吻
口若悬河 滔滔不绝
口是心非 两面三刀
口是心非 言行相诡
口授 口传
口血未干 言犹在耳
口语 白话
叩首 磕头
叩首 叩头
叩头 叩首
扣问 询问
扣押 拘留 
枯败 枯萎
枯寂 寂聊
枯荣 隆替
枯燥乏味 索然无味
哭泣 抽泣
哭泣 堕泪
哭泣 饮泣
哭笑不得 啼笑皆非
苦楚 痛楚
苦口婆心 语重心长
苦命 薄命
苦难 磨难
苦守 死守
苦心焦虑 困心衡虑
苦衷 苦处
酷爱 酷好
酷爱 深嗜
酷吏 苛吏
酷热 炽热
酷热 炎热
酷暑 盛暑
酷暑 炎暑
酷暑 炎夏
酷刑 严刑
夸大其词 过甚其辞
夸诞 浮夸
夸奖 嘉奖
夸奖 嘉勉
垮台 塌台
跨鹤西归 驾返瑶池
跨越 逾越
快马加鞭 马不停蹄
快人快事 干脆爽快
快意 如意
宽敞 宽阔
宽绰 宽阔
宽广 宽阔
宽解 宽心
宽猛相济 德威并用
宽恕 饶恕
宽慰 快慰
宽心 宽解
款待 招待
款项 款子
匡时济世 经国济民
匡助 帮助
狂奔 疾走
狂潮 怒潮
狂跌 暴跌
狂风 暴风
狂妄 傲慢
狂言 大言
诳骗 欺诳
况且 何况
旷代一人 举世无匹
旷地 空地
旷废 荒废
旷古 太古
旷课 缺课
旷日持久 空费时日
旷世 绝代
旷世一人 斗南一人
旷野 田野
亏本 赔本
窥伺 窥探
葵扇 蒲扇
魁首 翘楚
魁伟 魁梧
跬步不离 寸步不离
跬步不离 如影随形
愧疚 惭愧
溃脓 殨脓
馈赠 奉送
殨脓 溃脓
困顿 困窘
困乏 困倦
困境 窘境
扩展 扩大
扩张 扩大
阔绰 阔气
阔气 豪阔
腊鼓频催 年近岁终
腊尽冬残 年近岁迫
腊月 尾月
来宾 宾客
来回 往返
来临 到临
来龙去脉 前因后果
来路货 舶来品
来世 下世
来岁 明年
来由 出处
来由 来因
来源 来历
兰艾俱焚 兰艾同焚
兰艾俱焚 兰艾同烬
兰摧玉折 哲人其萎
兰交 至好
拦截 阻挡
拦阻 阻截
拦阻 阻拦
栏杆 雕栏
阑珊 衰退
褴褛 破烂
懒惰 怠惰
懒惰 懒散
懒散 懒惰
烂漫 烂缦
烂醉 大醉
滥杀无辜 草菅人命
狼狈不堪 狼狈万状
狼狈而逃 抱头鼠窜
狼狈万状 狼狈不堪
狼藉 狼籍
狼心狗肺 恶毒心肠
鎯头 榔头
朗读 朗诵
浪潮 海潮
浪费 挥霍
浪费 浪掷
浪费 铺张
浪迹江湖 到处为家
浪子 荡子
劳而无功 吃力不讨好
劳绩 功劳
劳绩 收获
劳碌 忙碌
劳神 费心
牢固 坚固
牢固 牢靠
牢记 服膺
牢记 紧记
牢骚 怨言
牢骚满腹 怨气冲天
牢狱 监狱
牢狱 缧绁
唠叨 絮聒
老蚌生珠 老年得子
老妇人 老太婆
老汉 老夫
老趼 老茧
老将 宿将
老景 晚景
老例 常例
老例 惯例
老例 旧例
老练 老到
老马识途 谙熟门路
老衲 老僧
末年 暮年
老婆 妻子
老人 白叟
老僧入定 古井不波
老少 老小
老生常谈 陈词滥调
老实 厚道
老是 总是
老手 内行
老手 熟手
老树枯柴 人老珠黄
老态龙钟 齿豁头童
老小 长幼
老朽 老拙
老朽无能 尸居余气
潦倒穷困 穷困潦倒
乐不思蜀 乐而忘返
乐成 告成
乐工 乐师
乐极生悲 兴尽悲来
乐谱 曲谱
乐岁 丰年
乐陶陶 乐滋滋
乐陶陶 喜洋洋
乐土 乐园
勒令 迫令
雷同 类似
缧绁 监牢
羸弱 孱羸
羸弱 孱弱
肋膜 胸膜
泪流满面 泪如泉涌
泪流满面 泪如雨下
泪流满面 泣不成声
泪如泉涌 泪流满面
类别 种别
类似 雷同
累积 积累
累坠 累赘
冷嘲热讽 冷言冷语
冷淡 冷漠
冷风 凉风
冷箭 暗箭
冷静 沉着
冷静 镇定
冷漠 冷酷
冷暖自知 心里有数
冷气 凉气
冷视 漠视
冷天 寒天
冷巷 小巷
冷眼旁观 隔岸观火
冷眼旁观 坐观成败
冷战 暗斗
冷炙 残羹
冷炙 馂余
梨园 戏班
离隔 隔开
离合 聚散
离合悲欢 悲欢离合
离奇 古怪
离任 离职
离席 退席
离职 去职
骊歌高唱 阳关三迭
犁庭扫穴 直捣黄龙
黎民 百姓
黎明 拂晓
篱笆 竹篱
罹难 遇难
礼法 礼制
礼节 礼仪
礼帽 弁冕
礼品 礼物
礼聘 聘请
礼尚往来 投桃报李
礼堂 会堂
理睬 理会
理当 应当
理发 剃头
理所当然 天经地义
理想 抱负
理直气壮 义正词严
理直气壮 义正辞严
力不从心 力有未逮
力不胜任 力难胜任
力量 力气
力气 气力
力求进步 力求上进
力求进步 力图上进
力求上进 力争上流
力弱 力衰
力图 力争
力图上进 力争上游
历尽沧桑 饱经风霜
历尽艰辛 含辛茹苦
历尽艰辛 坚苦卓绝
历尽艰辛 千辛万苦
历历如绘 绘声绘影
历历如绘 绘影绘声
历历在目 记忆犹心
历时 用时
厉兵秣马 严阵以待
立德 树德
立即 立刻
立誓 发誓
立异 创新
立足 安身
立足 存身
立足 容身
丽人 美人
利便 方便
利落 爽利
利钱 利息
利刃 芒刃
利市三倍 获利优厚
利益 好处
利用 使用
沥血以誓 歃血为盟
例外 破例
隶属 附属
笠帽 斗笠
詈骂 唾骂
连累 带累
连累 牵连
连忙 赶紧
连袂 联袂
连任 蝉联
连续 持续
连续 接连
连续 一连
连续不断 接二连三
连珠箭 连珠炮
怜悯 同情
怜悯 恻隐
莲开并蒂 双宿双飞
联合 结合
联婚 缔姻
联络 联系
联袂 连袂
联姻 联婚
联姻 攀亲
廉价 便宜
廉洁 清廉
廉明 廉正
廉正 廉洁
脸部 面部
脸颊 面颊
脸孔 面孔
脸色 神色
恋恋不舍 依依不舍
恋慕 爱慕
恋情 爱情
恋人 情人
良伴 良俦
良多 很多
良久 很久
良朋 良友
良朋 益友
良图 美计
良宵 良夜
良心 良知
良药苦口 忠言逆耳
良莠淆杂 龙蛇混杂
凉快 凉爽
凉帽 草帽
凉气 冷气
粮食 食粮
踉跄 踉蹡
两端 两头
两码事 两回事
两面三刀 阳奉阴违
两头 两端
两小无猜 青梅竹马
两姓之好 秦晋之好
两姓之欢 秦晋之好
两者 二者
谅解 体谅
量体裁衣 见机而作
量体裁衣 相机行事
辽阔 广阔
辽阔 空阔
寥寂 寂寥
寥寥可数 屈指可数
寥寥无几 百里挑一
寥寥无几 寥寥可数
寥寥无几 寥若晨星
寥落 零落
嘹亮 洪亮
撩蜂拨刺 撩蜂剔蝎
撩蜂剔蝎 撩蜂拨刺
燎原之火 星火燎原
镣铐 枷锁
了不得 了不起
了结 了却
了局 结局
了局 下场
了如指掌 洞若观火
了如指掌 管窥蠡测
了债 清偿
料想 猜想
料中 猜中
列传 传记
列国 各国
列举 罗列
列位 各位
劣等 下等
劣货 次货
烈火 猛火
烈女 节女
烈日 骄阳
烈日当空 火伞高张
烈焰 炎火
裂缝 裂痕
趔趔趄趄 跌跌撞撞
邻近 临近
邻居 邻人
林林总总 各色各样
林林总总 各式各样
林林总总 各种各样
临机处置 临机应变
临近 邻近
临渴掘井 急时抱佛脚
临渴掘井 江心补漏
临渴掘井 渴而穿井
临摹 摹仿
临盆 分娩
临时 暂且
临时 暂时
淋漓尽致 极尽描摹
琳琅满目 满目琳琅
遴派 选派
辚轹 践踏
磷火 鬼火
凛冽 凛凛
吝啬 鄙吝
吝啬 小气
吝啬 悭吝
吝啬鬼 守财奴
伶丁 孤苦
伶牙利齿 伶牙俐齿
灵便 灵活
灵榇 灵柩
灵柩 棺木
灵敏 活络
灵巧 灵便
灵药 妙药
囹圄 囹圉
凌驾 超出
凌驾 超过
凌辱 侮辱
陵暴 欺凌
陵犯 侵占
陵寝 陵园
陵夷 衰微
聆听 凝听
零丁 伶仃
零散 零星
零碎 琐细
领班 工头
领导 带领
领港 引港
领会 体会
领路 带路
领情 承情
领土 国土
领土 疆域
领袖 首脑
领域 范畴
令出必行 令出如山
令出必行 驷不及舌
令郎 公子
令人 使人
令坦 贵婿
令坦 令婿
令媛 千金
另娶 再娶
另日 他日
另外 别的
另眼相看 刮目相看
另一 另外一
溜冰 滑冰
溜达 散步
流畅 流利
流传 撒播
流芳百世 垂馨千祀
流芳百世 千古流芳
流芳百世 千古留名
流芳百世 千载扬名
